sBB,sBW,sWB,sWW,pBB,pBW,pWB,pWW,counterfactual,N_B,N_W
0.0,1.0,0.053571428571428575,0.8,0.09,1.0,0.41,0.81,No counterfactual,3,56
0.04,0.96,0.05142857142857143,0.76,0.09,1.0,0.41,0.81,No counterfactual,3,56
0.04,0.96,0.05142857142857143,0.8,0.09,1.0,0.41,0.81,No counterfactual,3,56
0.08,0.92,0.049285714285714294,0.8,0.09,1.0,0.41,0.81,No counterfactual,3,56
0.0,1.0,0.053571428571428575,0.76,0.21,1.0,0.5,0.81,No counterfactual,3,56
0.0,1.0,0.053571428571428575,0.8,0.21,1.0,0.5,0.81,No counterfactual,3,56
0.04,0.96,0.05142857142857143,0.76,0.21,1.0,0.5,0.81,No counterfactual,3,56
0.04,0.96,0.05142857142857143,0.8,0.21,1.0,0.5,0.81,No counterfactual,3,56
0.08,0.92,0.049285714285714294,0.8,0.21,1.0,0.5,0.81,No counterfactual,3,56
0.12,0.88,0.047142857142857146,0.8,0.21,1.0,0.5,0.81,No counterfactual,3,56
0.16,0.84,0.045,0.8,0.21,1.0,0.5,0.81,No counterfactual,3,56
0.2,0.8,0.042857142857142864,0.8,0.21,1.0,0.5,0.81,No counterfactual,3,56
0.0,1.0,0.053571428571428575,0.76,0.08,1.0,0.64,0.81,No counterfactual,3,56
0.0,1.0,0.053571428571428575,0.8,0.08,1.0,0.64,0.81,No counterfactual,3,56
0.04,0.96,0.05142857142857143,0.76,0.08,1.0,0.64,0.81,No counterfactual,3,56
0.04,0.96,0.05142857142857143,0.8,0.08,1.0,0.64,0.81,No counterfactual,3,56
0.08,0.92,0.049285714285714294,0.8,0.08,1.0,0.64,0.81,No counterfactual,3,56
0.0,1.0,0.053571428571428575,0.76,0.8200000000000001,1.0,0.79,0.81,No counterfactual,3,56
0.0,1.0,0.053571428571428575,0.8,0.8200000000000001,1.0,0.79,0.81,No counterfactual,3,56
0.04,0.96,0.05142857142857143,0.76,0.8200000000000001,1.0,0.79,0.81,No counterfactual,3,56
0.04,0.96,0.05142857142857143,0.8,0.8200000000000001,1.0,0.79,0.81,No counterfactual,3,56
0.08,0.92,0.049285714285714294,0.8,0.8200000000000001,1.0,0.79,0.81,No counterfactual,3,56
0.12,0.88,0.047142857142857146,0.8,0.8200000000000001,1.0,0.79,0.81,No counterfactual,3,56
0.16,0.84,0.045,0.8,0.8200000000000001,1.0,0.79,0.81,No counterfactual,3,56
0.2,0.8,0.042857142857142864,0.8,0.8200000000000001,1.0,0.79,0.81,No counterfactual,3,56
0.24,0.76,0.04071428571428572,0.8,0.8200000000000001,1.0,0.79,0.81,No counterfactual,3,56
0.28,0.72,0.038571428571428576,0.8,0.8200000000000001,1.0,0.79,0.81,No counterfactual,3,56
0.32,0.68,0.036428571428571435,0.8,0.8200000000000001,1.0,0.79,0.81,No counterfactual,3,56
0.36,0.64,0.03428571428571429,0.8,0.8200000000000001,1.0,0.79,0.81,No counterfactual,3,56
0.4,0.6,0.03214285714285715,0.8,0.8200000000000001,1.0,0.79,0.81,No counterfactual,3,56
0.44,0.56,0.030000000000000006,0.8,0.8200000000000001,1.0,0.79,0.81,No counterfactual,3,56
0.48,0.52,0.02785714285714286,0.8,0.8200000000000001,1.0,0.79,0.81,No counterfactual,3,56
0.52,0.48,0.025714285714285714,0.8,0.8200000000000001,1.0,0.79,0.81,No counterfactual,3,56
0.56,0.44,0.023571428571428573,0.8,0.8200000000000001,1.0,0.79,0.81,No counterfactual,3,56
0.6,0.4,0.021428571428571432,0.8,0.8200000000000001,1.0,0.79,0.81,No counterfactual,3,56
0.64,0.36,0.019285714285714288,0.8,0.8200000000000001,1.0,0.79,0.81,No counterfactual,3,56
0.68,0.32,0.017142857142857144,0.8,0.8200000000000001,1.0,0.79,0.81,No counterfactual,3,56
0.72,0.28,0.015000000000000003,0.8,0.8200000000000001,1.0,0.79,0.81,No counterfactual,3,56
0.76,0.24,0.012857142857142857,0.8,0.8200000000000001,1.0,0.79,0.81,No counterfactual,3,56
0.8,0.2,0.010714285714285716,0.8,0.8200000000000001,1.0,0.79,0.81,No counterfactual,3,56
0.0,1.0,0.053571428571428575,0.76,0.24,1.0,0.48,0.81,No counterfactual,3,56
0.0,1.0,0.053571428571428575,0.8,0.24,1.0,0.48,0.81,No counterfactual,3,56
0.04,0.96,0.05142857142857143,0.76,0.24,1.0,0.48,0.81,No counterfactual,3,56
0.04,0.96,0.05142857142857143,0.8,0.24,1.0,0.48,0.81,No counterfactual,3,56
0.08,0.92,0.049285714285714294,0.8,0.24,1.0,0.48,0.81,No counterfactual,3,56
0.12,0.88,0.047142857142857146,0.8,0.24,1.0,0.48,0.81,No counterfactual,3,56
0.16,0.84,0.045,0.8,0.24,1.0,0.48,0.81,No counterfactual,3,56
0.2,0.8,0.042857142857142864,0.8,0.24,1.0,0.48,0.81,No counterfactual,3,56
0.24,0.76,0.04071428571428572,0.8,0.24,1.0,0.48,0.81,No counterfactual,3,56
0.0,1.0,0.053571428571428575,0.8,0.8,1.0,0.89,0.8300000000000001,No counterfactual,3,56
0.04,0.96,0.05142857142857143,0.8,0.8,1.0,0.89,0.8300000000000001,No counterfactual,3,56
0.08,0.92,0.049285714285714294,0.8,0.8,1.0,0.89,0.8300000000000001,No counterfactual,3,56
0.12,0.88,0.047142857142857146,0.8,0.8,1.0,0.89,0.8300000000000001,No counterfactual,3,56
0.16,0.84,0.045,0.8,0.8,1.0,0.89,0.8300000000000001,No counterfactual,3,56
0.2,0.8,0.042857142857142864,0.8,0.8,1.0,0.89,0.8300000000000001,No counterfactual,3,56
0.24,0.76,0.04071428571428572,0.8,0.8,1.0,0.89,0.8300000000000001,No counterfactual,3,56
0.28,0.72,0.038571428571428576,0.8,0.8,1.0,0.89,0.8300000000000001,No counterfactual,3,56
0.32,0.68,0.036428571428571435,0.8,0.8,1.0,0.89,0.8300000000000001,No counterfactual,3,56
0.36,0.64,0.03428571428571429,0.8,0.8,1.0,0.89,0.8300000000000001,No counterfactual,3,56
0.4,0.6,0.03214285714285715,0.8,0.8,1.0,0.89,0.8300000000000001,No counterfactual,3,56
0.44,0.56,0.030000000000000006,0.8,0.8,1.0,0.89,0.8300000000000001,No counterfactual,3,56
0.0,1.0,0.053571428571428575,0.8,0.54,1.0,0.91,0.8300000000000001,No counterfactual,3,56
0.04,0.96,0.05142857142857143,0.8,0.54,1.0,0.91,0.8300000000000001,No counterfactual,3,56
0.08,0.92,0.049285714285714294,0.8,0.54,1.0,0.91,0.8300000000000001,No counterfactual,3,56
0.12,0.88,0.047142857142857146,0.8,0.54,1.0,0.91,0.8300000000000001,No counterfactual,3,56
0.16,0.84,0.045,0.8,0.54,1.0,0.91,0.8300000000000001,No counterfactual,3,56
0.2,0.8,0.042857142857142864,0.8,0.54,1.0,0.91,0.8300000000000001,No counterfactual,3,56
0.24,0.76,0.04071428571428572,0.8,0.54,1.0,0.91,0.8300000000000001,No counterfactual,3,56
0.28,0.72,0.038571428571428576,0.8,0.54,1.0,0.91,0.8300000000000001,No counterfactual,3,56
0.32,0.68,0.036428571428571435,0.8,0.54,1.0,0.91,0.8300000000000001,No counterfactual,3,56
0.36,0.64,0.03428571428571429,0.8,0.54,1.0,0.91,0.8300000000000001,No counterfactual,3,56
0.4,0.6,0.03214285714285715,0.8,0.54,1.0,0.91,0.8300000000000001,No counterfactual,3,56
0.44,0.56,0.030000000000000006,0.8,0.54,1.0,0.91,0.8300000000000001,No counterfactual,3,56
0.0,1.0,0.053571428571428575,0.76,0.8200000000000001,1.0,0.67,0.79,No counterfactual,3,56
0.04,0.96,0.05142857142857143,0.76,0.8200000000000001,1.0,0.67,0.79,No counterfactual,3,56
0.08,0.92,0.049285714285714294,0.76,0.8200000000000001,1.0,0.67,0.79,No counterfactual,3,56
0.12,0.88,0.047142857142857146,0.76,0.8200000000000001,1.0,0.67,0.79,No counterfactual,3,56
0.16,0.84,0.045,0.76,0.8200000000000001,1.0,0.67,0.79,No counterfactual,3,56
0.2,0.8,0.042857142857142864,0.76,0.8200000000000001,1.0,0.67,0.79,No counterfactual,3,56
0.24,0.76,0.04071428571428572,0.76,0.8200000000000001,1.0,0.67,0.79,No counterfactual,3,56
0.28,0.72,0.038571428571428576,0.76,0.8200000000000001,1.0,0.67,0.79,No counterfactual,3,56
0.32,0.68,0.036428571428571435,0.76,0.8200000000000001,1.0,0.67,0.79,No counterfactual,3,56
0.36,0.64,0.03428571428571429,0.76,0.8200000000000001,1.0,0.67,0.79,No counterfactual,3,56
0.4,0.6,0.03214285714285715,0.76,0.8200000000000001,1.0,0.67,0.79,No counterfactual,3,56
0.44,0.56,0.030000000000000006,0.76,0.8200000000000001,1.0,0.67,0.79,No counterfactual,3,56
0.0,1.0,0.053571428571428575,0.8,0.86,1.0,1.0,0.8200000000000001,No counterfactual,3,56
0.04,0.96,0.05142857142857143,0.8,0.86,1.0,1.0,0.8200000000000001,No counterfactual,3,56
0.08,0.92,0.049285714285714294,0.8,0.86,1.0,1.0,0.8200000000000001,No counterfactual,3,56
0.12,0.88,0.047142857142857146,0.8,0.86,1.0,1.0,0.8200000000000001,No counterfactual,3,56
0.16,0.84,0.045,0.8,0.86,1.0,1.0,0.8200000000000001,No counterfactual,3,56
0.2,0.8,0.042857142857142864,0.8,0.86,1.0,1.0,0.8200000000000001,No counterfactual,3,56
0.24,0.76,0.04071428571428572,0.8,0.86,1.0,1.0,0.8200000000000001,No counterfactual,3,56
0.28,0.72,0.038571428571428576,0.8,0.86,1.0,1.0,0.8200000000000001,No counterfactual,3,56
0.32,0.68,0.036428571428571435,0.8,0.86,1.0,1.0,0.8200000000000001,No counterfactual,3,56
0.36,0.64,0.03428571428571429,0.8,0.86,1.0,1.0,0.8200000000000001,No counterfactual,3,56
0.4,0.6,0.03214285714285715,0.8,0.86,1.0,1.0,0.8200000000000001,No counterfactual,3,56
0.44,0.56,0.030000000000000006,0.8,0.86,1.0,1.0,0.8200000000000001,No counterfactual,3,56
0.48,0.52,0.02785714285714286,0.8,0.86,1.0,1.0,0.8200000000000001,No counterfactual,3,56
0.52,0.48,0.025714285714285714,0.8,0.86,1.0,1.0,0.8200000000000001,No counterfactual,3,56
0.56,0.44,0.023571428571428573,0.8,0.86,1.0,1.0,0.8200000000000001,No counterfactual,3,56
0.6,0.4,0.021428571428571432,0.8,0.86,1.0,1.0,0.8200000000000001,No counterfactual,3,56
0.0,1.0,0.053571428571428575,0.8,0.07,1.0,0.25,0.8200000000000001,No counterfactual,3,56
0.04,0.96,0.05142857142857143,0.8,0.07,1.0,0.25,0.8200000000000001,No counterfactual,3,56
0.0,1.0,0.053571428571428575,0.8,0.16,1.0,0.5,0.8300000000000001,No counterfactual,3,56
0.04,0.96,0.05142857142857143,0.8,0.16,1.0,0.5,0.8300000000000001,No counterfactual,3,56
0.08,0.92,0.049285714285714294,0.8,0.16,1.0,0.5,0.8300000000000001,No counterfactual,3,56
0.12,0.88,0.047142857142857146,0.8,0.16,1.0,0.5,0.8300000000000001,No counterfactual,3,56
0.16,0.84,0.045,0.8,0.16,1.0,0.5,0.8300000000000001,No counterfactual,3,56
0.0,1.0,0.053571428571428575,0.8,0.07,1.0,0.62,0.8300000000000001,No counterfactual,3,56
0.04,0.96,0.05142857142857143,0.8,0.07,1.0,0.62,0.8300000000000001,No counterfactual,3,56
0.0,1.0,0.053571428571428575,0.8,0.29,1.0,0.38,0.8200000000000001,No counterfactual,3,56
0.04,0.96,0.05142857142857143,0.8,0.29,1.0,0.38,0.8200000000000001,No counterfactual,3,56
0.08,0.92,0.049285714285714294,0.8,0.29,1.0,0.38,0.8200000000000001,No counterfactual,3,56
0.12,0.88,0.047142857142857146,0.8,0.29,1.0,0.38,0.8200000000000001,No counterfactual,3,56
0.16,0.84,0.045,0.8,0.29,1.0,0.38,0.8200000000000001,No counterfactual,3,56
0.2,0.8,0.042857142857142864,0.8,0.29,1.0,0.38,0.8200000000000001,No counterfactual,3,56
0.24,0.76,0.04071428571428572,0.8,0.29,1.0,0.38,0.8200000000000001,No counterfactual,3,56
0.28,0.72,0.038571428571428576,0.8,0.29,1.0,0.38,0.8200000000000001,No counterfactual,3,56
0.0,1.0,0.053571428571428575,0.76,0.6,1.0,0.8200000000000001,0.81,No counterfactual,3,56
0.0,1.0,0.053571428571428575,0.8,0.6,1.0,0.8200000000000001,0.81,No counterfactual,3,56
0.04,0.96,0.05142857142857143,0.76,0.6,1.0,0.8200000000000001,0.81,No counterfactual,3,56
0.04,0.96,0.05142857142857143,0.8,0.6,1.0,0.8200000000000001,0.81,No counterfactual,3,56
0.08,0.92,0.049285714285714294,0.8,0.6,1.0,0.8200000000000001,0.81,No counterfactual,3,56
0.12,0.88,0.047142857142857146,0.8,0.6,1.0,0.8200000000000001,0.81,No counterfactual,3,56
0.16,0.84,0.045,0.8,0.6,1.0,0.8200000000000001,0.81,No counterfactual,3,56
0.2,0.8,0.042857142857142864,0.8,0.6,1.0,0.8200000000000001,0.81,No counterfactual,3,56
0.24,0.76,0.04071428571428572,0.8,0.6,1.0,0.8200000000000001,0.81,No counterfactual,3,56
0.28,0.72,0.038571428571428576,0.8,0.6,1.0,0.8200000000000001,0.81,No counterfactual,3,56
0.32,0.68,0.036428571428571435,0.8,0.6,1.0,0.8200000000000001,0.81,No counterfactual,3,56
0.36,0.64,0.03428571428571429,0.8,0.6,1.0,0.8200000000000001,0.81,No counterfactual,3,56
0.4,0.6,0.03214285714285715,0.8,0.6,1.0,0.8200000000000001,0.81,No counterfactual,3,56
0.44,0.56,0.030000000000000006,0.8,0.6,1.0,0.8200000000000001,0.81,No counterfactual,3,56
0.48,0.52,0.02785714285714286,0.8,0.6,1.0,0.8200000000000001,0.81,No counterfactual,3,56
0.52,0.48,0.025714285714285714,0.8,0.6,1.0,0.8200000000000001,0.81,No counterfactual,3,56
0.56,0.44,0.023571428571428573,0.8,0.6,1.0,0.8200000000000001,0.81,No counterfactual,3,56
0.6,0.4,0.021428571428571432,0.8,0.6,1.0,0.8200000000000001,0.81,No counterfactual,3,56
0.0,1.0,0.053571428571428575,0.76,0.32,1.0,0.36,0.79,No counterfactual,3,56
0.04,0.96,0.05142857142857143,0.76,0.32,1.0,0.36,0.79,No counterfactual,3,56
0.08,0.92,0.049285714285714294,0.76,0.32,1.0,0.36,0.79,No counterfactual,3,56
0.12,0.88,0.047142857142857146,0.76,0.32,1.0,0.36,0.79,No counterfactual,3,56
0.16,0.84,0.045,0.76,0.32,1.0,0.36,0.79,No counterfactual,3,56
0.2,0.8,0.042857142857142864,0.76,0.32,1.0,0.36,0.79,No counterfactual,3,56
0.24,0.76,0.04071428571428572,0.76,0.32,1.0,0.36,0.79,No counterfactual,3,56
0.28,0.72,0.038571428571428576,0.76,0.32,1.0,0.36,0.79,No counterfactual,3,56
0.32,0.68,0.036428571428571435,0.76,0.32,1.0,0.36,0.79,No counterfactual,3,56
0.0,1.0,0.053571428571428575,0.8,0.08,1.0,0.34,0.8300000000000001,No counterfactual,3,56
0.04,0.96,0.05142857142857143,0.8,0.08,1.0,0.34,0.8300000000000001,No counterfactual,3,56
0.08,0.92,0.049285714285714294,0.8,0.08,1.0,0.34,0.8300000000000001,No counterfactual,3,56
0.0,1.0,0.053571428571428575,0.8,0.41,1.0,0.48,0.8200000000000001,No counterfactual,3,56
0.04,0.96,0.05142857142857143,0.8,0.41,1.0,0.48,0.8200000000000001,No counterfactual,3,56
0.08,0.92,0.049285714285714294,0.8,0.41,1.0,0.48,0.8200000000000001,No counterfactual,3,56
0.12,0.88,0.047142857142857146,0.8,0.41,1.0,0.48,0.8200000000000001,No counterfactual,3,56
0.16,0.84,0.045,0.8,0.41,1.0,0.48,0.8200000000000001,No counterfactual,3,56
0.2,0.8,0.042857142857142864,0.8,0.41,1.0,0.48,0.8200000000000001,No counterfactual,3,56
0.24,0.76,0.04071428571428572,0.8,0.41,1.0,0.48,0.8200000000000001,No counterfactual,3,56
0.28,0.72,0.038571428571428576,0.8,0.41,1.0,0.48,0.8200000000000001,No counterfactual,3,56
0.32,0.68,0.036428571428571435,0.8,0.41,1.0,0.48,0.8200000000000001,No counterfactual,3,56
0.36,0.64,0.03428571428571429,0.8,0.41,1.0,0.48,0.8200000000000001,No counterfactual,3,56
0.4,0.6,0.03214285714285715,0.8,0.41,1.0,0.48,0.8200000000000001,No counterfactual,3,56
0.0,1.0,0.053571428571428575,0.76,0.91,1.0,0.65,0.8,No counterfactual,3,56
0.0,1.0,0.053571428571428575,0.8,0.91,1.0,0.65,0.8,No counterfactual,3,56
0.04,0.96,0.05142857142857143,0.76,0.91,1.0,0.65,0.8,No counterfactual,3,56
0.04,0.96,0.05142857142857143,0.8,0.91,1.0,0.65,0.8,No counterfactual,3,56
0.08,0.92,0.049285714285714294,0.76,0.91,1.0,0.65,0.8,No counterfactual,3,56
0.08,0.92,0.049285714285714294,0.8,0.91,1.0,0.65,0.8,No counterfactual,3,56
0.12,0.88,0.047142857142857146,0.76,0.91,1.0,0.65,0.8,No counterfactual,3,56
0.12,0.88,0.047142857142857146,0.8,0.91,1.0,0.65,0.8,No counterfactual,3,56
0.16,0.84,0.045,0.76,0.91,1.0,0.65,0.8,No counterfactual,3,56
0.16,0.84,0.045,0.8,0.91,1.0,0.65,0.8,No counterfactual,3,56
0.2,0.8,0.042857142857142864,0.76,0.91,1.0,0.65,0.8,No counterfactual,3,56
0.2,0.8,0.042857142857142864,0.8,0.91,1.0,0.65,0.8,No counterfactual,3,56
0.24,0.76,0.04071428571428572,0.76,0.91,1.0,0.65,0.8,No counterfactual,3,56
0.24,0.76,0.04071428571428572,0.8,0.91,1.0,0.65,0.8,No counterfactual,3,56
0.28,0.72,0.038571428571428576,0.8,0.91,1.0,0.65,0.8,No counterfactual,3,56
0.32,0.68,0.036428571428571435,0.8,0.91,1.0,0.65,0.8,No counterfactual,3,56
0.36,0.64,0.03428571428571429,0.8,0.91,1.0,0.65,0.8,No counterfactual,3,56
0.4,0.6,0.03214285714285715,0.8,0.91,1.0,0.65,0.8,No counterfactual,3,56
0.44,0.56,0.030000000000000006,0.8,0.91,1.0,0.65,0.8,No counterfactual,3,56
0.48,0.52,0.02785714285714286,0.8,0.91,1.0,0.65,0.8,No counterfactual,3,56
0.52,0.48,0.025714285714285714,0.8,0.91,1.0,0.65,0.8,No counterfactual,3,56
0.56,0.44,0.023571428571428573,0.8,0.91,1.0,0.65,0.8,No counterfactual,3,56
0.6,0.4,0.021428571428571432,0.8,0.91,1.0,0.65,0.8,No counterfactual,3,56
0.64,0.36,0.019285714285714288,0.8,0.91,1.0,0.65,0.8,No counterfactual,3,56
0.68,0.32,0.017142857142857144,0.8,0.91,1.0,0.65,0.8,No counterfactual,3,56
0.72,0.28,0.015000000000000003,0.8,0.91,1.0,0.65,0.8,No counterfactual,3,56
0.76,0.24,0.012857142857142857,0.8,0.91,1.0,0.65,0.8,No counterfactual,3,56
0.8,0.2,0.010714285714285716,0.8,0.91,1.0,0.65,0.8,No counterfactual,3,56
0.84,0.16,0.008571428571428572,0.8,0.91,1.0,0.65,0.8,No counterfactual,3,56
0.88,0.12,0.0064285714285714285,0.8,0.91,1.0,0.65,0.8,No counterfactual,3,56
0.0,1.0,0.053571428571428575,0.8,0.26,1.0,0.8,0.8300000000000001,No counterfactual,3,56
0.04,0.96,0.05142857142857143,0.8,0.26,1.0,0.8,0.8300000000000001,No counterfactual,3,56
0.08,0.92,0.049285714285714294,0.8,0.26,1.0,0.8,0.8300000000000001,No counterfactual,3,56
0.12,0.88,0.047142857142857146,0.8,0.26,1.0,0.8,0.8300000000000001,No counterfactual,3,56
0.16,0.84,0.045,0.8,0.26,1.0,0.8,0.8300000000000001,No counterfactual,3,56
0.2,0.8,0.042857142857142864,0.8,0.26,1.0,0.8,0.8300000000000001,No counterfactual,3,56
0.24,0.76,0.04071428571428572,0.8,0.26,1.0,0.8,0.8300000000000001,No counterfactual,3,56
0.0,1.0,0.053571428571428575,0.76,0.7000000000000001,1.0,0.37,0.81,No counterfactual,3,56
0.0,1.0,0.053571428571428575,0.8,0.7000000000000001,1.0,0.37,0.81,No counterfactual,3,56
0.04,0.96,0.05142857142857143,0.76,0.7000000000000001,1.0,0.37,0.81,No counterfactual,3,56
0.04,0.96,0.05142857142857143,0.8,0.7000000000000001,1.0,0.37,0.81,No counterfactual,3,56
0.08,0.92,0.049285714285714294,0.8,0.7000000000000001,1.0,0.37,0.81,No counterfactual,3,56
0.12,0.88,0.047142857142857146,0.8,0.7000000000000001,1.0,0.37,0.81,No counterfactual,3,56
0.16,0.84,0.045,0.8,0.7000000000000001,1.0,0.37,0.81,No counterfactual,3,56
0.2,0.8,0.042857142857142864,0.8,0.7000000000000001,1.0,0.37,0.81,No counterfactual,3,56
0.24,0.76,0.04071428571428572,0.8,0.7000000000000001,1.0,0.37,0.81,No counterfactual,3,56
0.28,0.72,0.038571428571428576,0.8,0.7000000000000001,1.0,0.37,0.81,No counterfactual,3,56
0.32,0.68,0.036428571428571435,0.8,0.7000000000000001,1.0,0.37,0.81,No counterfactual,3,56
0.36,0.64,0.03428571428571429,0.8,0.7000000000000001,1.0,0.37,0.81,No counterfactual,3,56
0.4,0.6,0.03214285714285715,0.8,0.7000000000000001,1.0,0.37,0.81,No counterfactual,3,56
0.44,0.56,0.030000000000000006,0.8,0.7000000000000001,1.0,0.37,0.81,No counterfactual,3,56
0.48,0.52,0.02785714285714286,0.8,0.7000000000000001,1.0,0.37,0.81,No counterfactual,3,56
0.52,0.48,0.025714285714285714,0.8,0.7000000000000001,1.0,0.37,0.81,No counterfactual,3,56
0.56,0.44,0.023571428571428573,0.8,0.7000000000000001,1.0,0.37,0.81,No counterfactual,3,56
0.6,0.4,0.021428571428571432,0.8,0.7000000000000001,1.0,0.37,0.81,No counterfactual,3,56
0.64,0.36,0.019285714285714288,0.8,0.7000000000000001,1.0,0.37,0.81,No counterfactual,3,56
0.68,0.32,0.017142857142857144,0.8,0.7000000000000001,1.0,0.37,0.81,No counterfactual,3,56
0.0,1.0,0.053571428571428575,0.8,0.43,1.0,0.88,0.8300000000000001,No counterfactual,3,56
0.04,0.96,0.05142857142857143,0.8,0.43,1.0,0.88,0.8300000000000001,No counterfactual,3,56
0.08,0.92,0.049285714285714294,0.8,0.43,1.0,0.88,0.8300000000000001,No counterfactual,3,56
0.12,0.88,0.047142857142857146,0.8,0.43,1.0,0.88,0.8300000000000001,No counterfactual,3,56
0.16,0.84,0.045,0.8,0.43,1.0,0.88,0.8300000000000001,No counterfactual,3,56
0.2,0.8,0.042857142857142864,0.8,0.43,1.0,0.88,0.8300000000000001,No counterfactual,3,56
0.24,0.76,0.04071428571428572,0.8,0.43,1.0,0.88,0.8300000000000001,No counterfactual,3,56
0.28,0.72,0.038571428571428576,0.8,0.43,1.0,0.88,0.8300000000000001,No counterfactual,3,56
0.32,0.68,0.036428571428571435,0.8,0.43,1.0,0.88,0.8300000000000001,No counterfactual,3,56
0.36,0.64,0.03428571428571429,0.8,0.43,1.0,0.88,0.8300000000000001,No counterfactual,3,56
0.4,0.6,0.03214285714285715,0.8,0.43,1.0,0.88,0.8300000000000001,No counterfactual,3,56
0.0,1.0,0.053571428571428575,0.8,0.33,1.0,0.32,0.8200000000000001,No counterfactual,3,56
0.04,0.96,0.05142857142857143,0.8,0.33,1.0,0.32,0.8200000000000001,No counterfactual,3,56
0.08,0.92,0.049285714285714294,0.8,0.33,1.0,0.32,0.8200000000000001,No counterfactual,3,56
0.12,0.88,0.047142857142857146,0.8,0.33,1.0,0.32,0.8200000000000001,No counterfactual,3,56
0.16,0.84,0.045,0.8,0.33,1.0,0.32,0.8200000000000001,No counterfactual,3,56
0.2,0.8,0.042857142857142864,0.8,0.33,1.0,0.32,0.8200000000000001,No counterfactual,3,56
0.24,0.76,0.04071428571428572,0.8,0.33,1.0,0.32,0.8200000000000001,No counterfactual,3,56
0.28,0.72,0.038571428571428576,0.8,0.33,1.0,0.32,0.8200000000000001,No counterfactual,3,56
0.32,0.68,0.036428571428571435,0.8,0.33,1.0,0.32,0.8200000000000001,No counterfactual,3,56
0.0,1.0,0.053571428571428575,0.76,0.81,1.0,0.62,0.81,No counterfactual,3,56
0.0,1.0,0.053571428571428575,0.8,0.81,1.0,0.62,0.81,No counterfactual,3,56
0.04,0.96,0.05142857142857143,0.76,0.81,1.0,0.62,0.81,No counterfactual,3,56
0.04,0.96,0.05142857142857143,0.8,0.81,1.0,0.62,0.81,No counterfactual,3,56
0.08,0.92,0.049285714285714294,0.8,0.81,1.0,0.62,0.81,No counterfactual,3,56
0.12,0.88,0.047142857142857146,0.8,0.81,1.0,0.62,0.81,No counterfactual,3,56
0.16,0.84,0.045,0.8,0.81,1.0,0.62,0.81,No counterfactual,3,56
0.2,0.8,0.042857142857142864,0.8,0.81,1.0,0.62,0.81,No counterfactual,3,56
0.24,0.76,0.04071428571428572,0.8,0.81,1.0,0.62,0.81,No counterfactual,3,56
0.28,0.72,0.038571428571428576,0.8,0.81,1.0,0.62,0.81,No counterfactual,3,56
0.32,0.68,0.036428571428571435,0.8,0.81,1.0,0.62,0.81,No counterfactual,3,56
0.36,0.64,0.03428571428571429,0.8,0.81,1.0,0.62,0.81,No counterfactual,3,56
0.4,0.6,0.03214285714285715,0.8,0.81,1.0,0.62,0.81,No counterfactual,3,56
0.44,0.56,0.030000000000000006,0.8,0.81,1.0,0.62,0.81,No counterfactual,3,56
0.48,0.52,0.02785714285714286,0.8,0.81,1.0,0.62,0.81,No counterfactual,3,56
0.52,0.48,0.025714285714285714,0.8,0.81,1.0,0.62,0.81,No counterfactual,3,56
0.56,0.44,0.023571428571428573,0.8,0.81,1.0,0.62,0.81,No counterfactual,3,56
0.6,0.4,0.021428571428571432,0.8,0.81,1.0,0.62,0.81,No counterfactual,3,56
0.64,0.36,0.019285714285714288,0.8,0.81,1.0,0.62,0.81,No counterfactual,3,56
0.68,0.32,0.017142857142857144,0.8,0.81,1.0,0.62,0.81,No counterfactual,3,56
0.72,0.28,0.015000000000000003,0.8,0.81,1.0,0.62,0.81,No counterfactual,3,56
0.76,0.24,0.012857142857142857,0.8,0.81,1.0,0.62,0.81,No counterfactual,3,56
0.8,0.2,0.010714285714285716,0.8,0.81,1.0,0.62,0.81,No counterfactual,3,56
0.0,1.0,0.053571428571428575,0.8,0.29,1.0,0.24,0.8200000000000001,No counterfactual,3,56
0.04,0.96,0.05142857142857143,0.8,0.29,1.0,0.24,0.8200000000000001,No counterfactual,3,56
0.08,0.92,0.049285714285714294,0.8,0.29,1.0,0.24,0.8200000000000001,No counterfactual,3,56
0.12,0.88,0.047142857142857146,0.8,0.29,1.0,0.24,0.8200000000000001,No counterfactual,3,56
0.16,0.84,0.045,0.8,0.29,1.0,0.24,0.8200000000000001,No counterfactual,3,56
0.2,0.8,0.042857142857142864,0.8,0.29,1.0,0.24,0.8200000000000001,No counterfactual,3,56
0.24,0.76,0.04071428571428572,0.8,0.29,1.0,0.24,0.8200000000000001,No counterfactual,3,56
0.28,0.72,0.038571428571428576,0.8,0.29,1.0,0.24,0.8200000000000001,No counterfactual,3,56
