sBB,sBW,sWB,sWW,pBB,pBW,pWB,pWW,counterfactual,N_B,N_W
0.36,0.64,0.06787878787878789,0.8,0.42,1.0,0.33,0.8200000000000001,No counterfactual,7,66
0.4,0.6,0.06363636363636363,0.76,0.42,1.0,0.33,0.8200000000000001,No counterfactual,7,66
0.4,0.6,0.06363636363636363,0.8,0.42,1.0,0.33,0.8200000000000001,No counterfactual,7,66
0.0,1.0,0.10606060606060606,0.76,0.41,1.0,0.14,0.86,No counterfactual,7,66
0.04,0.96,0.10181818181818182,0.76,0.41,1.0,0.14,0.86,No counterfactual,7,66
0.28,0.72,0.07636363636363637,0.8,0.41,1.0,0.14,0.86,No counterfactual,7,66
0.32,0.68,0.07212121212121213,0.8,0.41,1.0,0.14,0.86,No counterfactual,7,66
0.36,0.64,0.06787878787878789,0.8,0.41,1.0,0.14,0.86,No counterfactual,7,66
0.4,0.6,0.06363636363636363,0.8,0.41,1.0,0.14,0.86,No counterfactual,7,66
0.0,1.0,0.10606060606060606,0.76,0.4,1.0,0.29,0.8300000000000001,No counterfactual,7,66
0.04,0.96,0.10181818181818182,0.76,0.4,1.0,0.29,0.8300000000000001,No counterfactual,7,66
0.08,0.92,0.09757575757575758,0.76,0.4,1.0,0.29,0.8300000000000001,No counterfactual,7,66
0.12,0.88,0.09333333333333334,0.76,0.4,1.0,0.29,0.8300000000000001,No counterfactual,7,66
0.16,0.84,0.0890909090909091,0.76,0.4,1.0,0.29,0.8300000000000001,No counterfactual,7,66
0.2,0.8,0.08484848484848485,0.76,0.4,1.0,0.29,0.8300000000000001,No counterfactual,7,66
0.24,0.76,0.08060606060606061,0.76,0.4,1.0,0.29,0.8300000000000001,No counterfactual,7,66
0.28,0.72,0.07636363636363637,0.76,0.4,1.0,0.29,0.8300000000000001,No counterfactual,7,66
0.28,0.72,0.07636363636363637,0.8,0.4,1.0,0.29,0.8300000000000001,No counterfactual,7,66
0.32,0.68,0.07212121212121213,0.76,0.4,1.0,0.29,0.8300000000000001,No counterfactual,7,66
0.32,0.68,0.07212121212121213,0.8,0.4,1.0,0.29,0.8300000000000001,No counterfactual,7,66
0.36,0.64,0.06787878787878789,0.8,0.4,1.0,0.29,0.8300000000000001,No counterfactual,7,66
0.4,0.6,0.06363636363636363,0.8,0.4,1.0,0.29,0.8300000000000001,No counterfactual,7,66
0.0,1.0,0.10606060606060606,0.72,0.3,1.0,0.33,0.8200000000000001,No counterfactual,7,66
0.0,1.0,0.10606060606060606,0.76,0.3,1.0,0.33,0.8200000000000001,No counterfactual,7,66
0.04,0.96,0.10181818181818182,0.72,0.3,1.0,0.33,0.8200000000000001,No counterfactual,7,66
0.04,0.96,0.10181818181818182,0.76,0.3,1.0,0.33,0.8200000000000001,No counterfactual,7,66
0.08,0.92,0.09757575757575758,0.76,0.3,1.0,0.33,0.8200000000000001,No counterfactual,7,66
0.12,0.88,0.09333333333333334,0.76,0.3,1.0,0.33,0.8200000000000001,No counterfactual,7,66
0.16,0.84,0.0890909090909091,0.76,0.3,1.0,0.33,0.8200000000000001,No counterfactual,7,66
0.2,0.8,0.08484848484848485,0.76,0.3,1.0,0.33,0.8200000000000001,No counterfactual,7,66
0.24,0.76,0.08060606060606061,0.76,0.3,1.0,0.33,0.8200000000000001,No counterfactual,7,66
0.28,0.72,0.07636363636363637,0.76,0.3,1.0,0.33,0.8200000000000001,No counterfactual,7,66
0.28,0.72,0.07636363636363637,0.8,0.3,1.0,0.33,0.8200000000000001,No counterfactual,7,66
0.0,1.0,0.10606060606060606,0.76,0.03,1.0,0.29,0.8300000000000001,No counterfactual,7,66
0.08,0.36,0.038181818181818185,0.84,0.43,1.0,0.07,0.87,No counterfactual,7,66
0.12,0.36,0.038181818181818185,0.84,0.43,1.0,0.07,0.87,No counterfactual,7,66
0.16,0.36,0.038181818181818185,0.84,0.43,1.0,0.07,0.87,No counterfactual,7,66
0.2,0.36,0.038181818181818185,0.84,0.43,1.0,0.07,0.87,No counterfactual,7,66
0.24,0.36,0.038181818181818185,0.84,0.43,1.0,0.07,0.87,No counterfactual,7,66
0.28,0.36,0.038181818181818185,0.84,0.43,1.0,0.07,0.87,No counterfactual,7,66
0.32,0.36,0.038181818181818185,0.84,0.43,1.0,0.07,0.87,No counterfactual,7,66
0.36,0.36,0.038181818181818185,0.84,0.43,1.0,0.07,0.87,No counterfactual,7,66
0.4,0.36,0.038181818181818185,0.84,0.43,1.0,0.07,0.87,No counterfactual,7,66
0.0,1.0,0.10606060606060606,0.76,0.25,1.0,0.14,0.86,No counterfactual,7,66
0.04,0.96,0.10181818181818182,0.76,0.25,1.0,0.14,0.86,No counterfactual,7,66
0.0,1.0,0.10606060606060606,0.76,0.13,1.0,0.14,0.86,No counterfactual,7,66
0.04,0.96,0.10181818181818182,0.76,0.13,1.0,0.14,0.86,No counterfactual,7,66
0.04,0.36,0.038181818181818185,0.84,0.4,1.0,0.07,0.87,No counterfactual,7,66
0.08,0.36,0.038181818181818185,0.84,0.4,1.0,0.07,0.87,No counterfactual,7,66
0.12,0.36,0.038181818181818185,0.84,0.4,1.0,0.07,0.87,No counterfactual,7,66
0.16,0.36,0.038181818181818185,0.84,0.4,1.0,0.07,0.87,No counterfactual,7,66
0.2,0.36,0.038181818181818185,0.84,0.4,1.0,0.07,0.87,No counterfactual,7,66
0.24,0.36,0.038181818181818185,0.84,0.4,1.0,0.07,0.87,No counterfactual,7,66
0.28,0.36,0.038181818181818185,0.84,0.4,1.0,0.07,0.87,No counterfactual,7,66
0.32,0.36,0.038181818181818185,0.84,0.4,1.0,0.07,0.87,No counterfactual,7,66
0.36,0.36,0.038181818181818185,0.84,0.4,1.0,0.07,0.87,No counterfactual,7,66
0.4,0.36,0.038181818181818185,0.84,0.4,1.0,0.07,0.87,No counterfactual,7,66
0.0,1.0,0.10606060606060606,0.76,0.03,1.0,0.14,0.86,No counterfactual,7,66
0.0,1.0,0.10606060606060606,0.72,0.03,1.0,0.33,0.8200000000000001,No counterfactual,7,66
0.0,1.0,0.10606060606060606,0.76,0.03,1.0,0.33,0.8200000000000001,No counterfactual,7,66
0.0,1.0,0.10606060606060606,0.72,0.14,1.0,0.33,0.8200000000000001,No counterfactual,7,66
0.0,1.0,0.10606060606060606,0.76,0.14,1.0,0.33,0.8200000000000001,No counterfactual,7,66
0.04,0.96,0.10181818181818182,0.72,0.14,1.0,0.33,0.8200000000000001,No counterfactual,7,66
0.04,0.96,0.10181818181818182,0.76,0.14,1.0,0.33,0.8200000000000001,No counterfactual,7,66
0.08,0.92,0.09757575757575758,0.76,0.14,1.0,0.33,0.8200000000000001,No counterfactual,7,66
0.12,0.88,0.09333333333333334,0.76,0.14,1.0,0.33,0.8200000000000001,No counterfactual,7,66
0.0,1.0,0.10606060606060606,0.76,0.05,1.0,0.14,0.86,No counterfactual,7,66
0.04,0.96,0.10181818181818182,0.76,0.05,1.0,0.14,0.86,No counterfactual,7,66
0.0,1.0,0.10606060606060606,0.76,0.55,1.0,0.14,0.86,No counterfactual,7,66
0.04,0.96,0.10181818181818182,0.76,0.55,1.0,0.14,0.86,No counterfactual,7,66
0.28,0.72,0.07636363636363637,0.8,0.55,1.0,0.14,0.86,No counterfactual,7,66
0.32,0.68,0.07212121212121213,0.8,0.55,1.0,0.14,0.86,No counterfactual,7,66
0.36,0.64,0.06787878787878789,0.8,0.55,1.0,0.14,0.86,No counterfactual,7,66
0.4,0.6,0.06363636363636363,0.8,0.55,1.0,0.14,0.86,No counterfactual,7,66
0.0,1.0,0.10606060606060606,0.76,0.42,1.0,0.29,0.8300000000000001,No counterfactual,7,66
0.04,0.96,0.10181818181818182,0.76,0.42,1.0,0.29,0.8300000000000001,No counterfactual,7,66
0.08,0.92,0.09757575757575758,0.76,0.42,1.0,0.29,0.8300000000000001,No counterfactual,7,66
0.12,0.88,0.09333333333333334,0.76,0.42,1.0,0.29,0.8300000000000001,No counterfactual,7,66
0.16,0.84,0.0890909090909091,0.76,0.42,1.0,0.29,0.8300000000000001,No counterfactual,7,66
0.2,0.8,0.08484848484848485,0.76,0.42,1.0,0.29,0.8300000000000001,No counterfactual,7,66
0.24,0.76,0.08060606060606061,0.76,0.42,1.0,0.29,0.8300000000000001,No counterfactual,7,66
0.28,0.72,0.07636363636363637,0.76,0.42,1.0,0.29,0.8300000000000001,No counterfactual,7,66
0.28,0.72,0.07636363636363637,0.8,0.42,1.0,0.29,0.8300000000000001,No counterfactual,7,66
0.32,0.68,0.07212121212121213,0.76,0.42,1.0,0.29,0.8300000000000001,No counterfactual,7,66
0.32,0.68,0.07212121212121213,0.8,0.42,1.0,0.29,0.8300000000000001,No counterfactual,7,66
0.36,0.64,0.06787878787878789,0.8,0.42,1.0,0.29,0.8300000000000001,No counterfactual,7,66
0.4,0.6,0.06363636363636363,0.8,0.42,1.0,0.29,0.8300000000000001,No counterfactual,7,66
0.16,0.36,0.038181818181818185,0.84,0.51,1.0,0.07,0.87,No counterfactual,7,66
0.2,0.36,0.038181818181818185,0.84,0.51,1.0,0.07,0.87,No counterfactual,7,66
0.24,0.36,0.038181818181818185,0.84,0.51,1.0,0.07,0.87,No counterfactual,7,66
0.28,0.36,0.038181818181818185,0.84,0.51,1.0,0.07,0.87,No counterfactual,7,66
0.32,0.36,0.038181818181818185,0.84,0.51,1.0,0.07,0.87,No counterfactual,7,66
0.36,0.36,0.038181818181818185,0.84,0.51,1.0,0.07,0.87,No counterfactual,7,66
0.4,0.36,0.038181818181818185,0.84,0.51,1.0,0.07,0.87,No counterfactual,7,66
0.44,0.36,0.038181818181818185,0.84,0.51,1.0,0.07,0.87,No counterfactual,7,66
0.48,0.36,0.038181818181818185,0.84,0.51,1.0,0.07,0.87,No counterfactual,7,66
0.0,1.0,0.10606060606060606,0.76,0.04,1.0,0.29,0.8300000000000001,No counterfactual,7,66
0.04,0.96,0.10181818181818182,0.76,0.04,1.0,0.29,0.8300000000000001,No counterfactual,7,66
0.16,0.36,0.038181818181818185,0.84,0.5,1.0,0.07,0.87,No counterfactual,7,66
0.2,0.36,0.038181818181818185,0.84,0.5,1.0,0.07,0.87,No counterfactual,7,66
0.24,0.36,0.038181818181818185,0.84,0.5,1.0,0.07,0.87,No counterfactual,7,66
0.28,0.36,0.038181818181818185,0.84,0.5,1.0,0.07,0.87,No counterfactual,7,66
0.32,0.36,0.038181818181818185,0.84,0.5,1.0,0.07,0.87,No counterfactual,7,66
0.36,0.36,0.038181818181818185,0.84,0.5,1.0,0.07,0.87,No counterfactual,7,66
0.4,0.36,0.038181818181818185,0.84,0.5,1.0,0.07,0.87,No counterfactual,7,66
0.44,0.36,0.038181818181818185,0.84,0.5,1.0,0.07,0.87,No counterfactual,7,66
0.48,0.36,0.038181818181818185,0.84,0.5,1.0,0.07,0.87,No counterfactual,7,66
0.0,1.0,0.10606060606060606,0.76,0.56,1.0,0.29,0.8300000000000001,No counterfactual,7,66
0.04,0.96,0.10181818181818182,0.76,0.56,1.0,0.29,0.8300000000000001,No counterfactual,7,66
0.08,0.92,0.09757575757575758,0.76,0.56,1.0,0.29,0.8300000000000001,No counterfactual,7,66
0.12,0.88,0.09333333333333334,0.76,0.56,1.0,0.29,0.8300000000000001,No counterfactual,7,66
0.16,0.84,0.0890909090909091,0.76,0.56,1.0,0.29,0.8300000000000001,No counterfactual,7,66
0.2,0.8,0.08484848484848485,0.76,0.56,1.0,0.29,0.8300000000000001,No counterfactual,7,66
0.24,0.76,0.08060606060606061,0.76,0.56,1.0,0.29,0.8300000000000001,No counterfactual,7,66
0.28,0.72,0.07636363636363637,0.76,0.56,1.0,0.29,0.8300000000000001,No counterfactual,7,66
0.28,0.72,0.07636363636363637,0.8,0.56,1.0,0.29,0.8300000000000001,No counterfactual,7,66
0.32,0.68,0.07212121212121213,0.76,0.56,1.0,0.29,0.8300000000000001,No counterfactual,7,66
0.32,0.68,0.07212121212121213,0.8,0.56,1.0,0.29,0.8300000000000001,No counterfactual,7,66
0.36,0.64,0.06787878787878789,0.8,0.56,1.0,0.29,0.8300000000000001,No counterfactual,7,66
0.4,0.6,0.06363636363636363,0.8,0.56,1.0,0.29,0.8300000000000001,No counterfactual,7,66
0.44,0.56,0.0593939393939394,0.8,0.56,1.0,0.29,0.8300000000000001,No counterfactual,7,66
0.48,0.52,0.05515151515151515,0.8,0.56,1.0,0.29,0.8300000000000001,No counterfactual,7,66
0.52,0.48,0.05090909090909091,0.8,0.56,1.0,0.29,0.8300000000000001,No counterfactual,7,66
0.56,0.44,0.04666666666666667,0.8,0.56,1.0,0.29,0.8300000000000001,No counterfactual,7,66
0.0,1.0,0.10606060606060606,0.76,0.22,1.0,0.14,0.86,No counterfactual,7,66
0.04,0.96,0.10181818181818182,0.76,0.22,1.0,0.14,0.86,No counterfactual,7,66
0.0,1.0,0.10606060606060606,0.72,0.44,1.0,0.33,0.8200000000000001,No counterfactual,7,66
0.0,1.0,0.10606060606060606,0.76,0.44,1.0,0.33,0.8200000000000001,No counterfactual,7,66
0.04,0.96,0.10181818181818182,0.72,0.44,1.0,0.33,0.8200000000000001,No counterfactual,7,66
0.04,0.96,0.10181818181818182,0.76,0.44,1.0,0.33,0.8200000000000001,No counterfactual,7,66
0.08,0.92,0.09757575757575758,0.76,0.44,1.0,0.33,0.8200000000000001,No counterfactual,7,66
0.12,0.88,0.09333333333333334,0.76,0.44,1.0,0.33,0.8200000000000001,No counterfactual,7,66
0.16,0.84,0.0890909090909091,0.76,0.44,1.0,0.33,0.8200000000000001,No counterfactual,7,66
0.2,0.8,0.08484848484848485,0.76,0.44,1.0,0.33,0.8200000000000001,No counterfactual,7,66
0.24,0.76,0.08060606060606061,0.76,0.44,1.0,0.33,0.8200000000000001,No counterfactual,7,66
0.28,0.72,0.07636363636363637,0.76,0.44,1.0,0.33,0.8200000000000001,No counterfactual,7,66
0.28,0.72,0.07636363636363637,0.8,0.44,1.0,0.33,0.8200000000000001,No counterfactual,7,66
0.32,0.68,0.07212121212121213,0.76,0.44,1.0,0.33,0.8200000000000001,No counterfactual,7,66
0.32,0.68,0.07212121212121213,0.8,0.44,1.0,0.33,0.8200000000000001,No counterfactual,7,66
0.36,0.64,0.06787878787878789,0.76,0.44,1.0,0.33,0.8200000000000001,No counterfactual,7,66
0.36,0.64,0.06787878787878789,0.8,0.44,1.0,0.33,0.8200000000000001,No counterfactual,7,66
0.4,0.6,0.06363636363636363,0.76,0.44,1.0,0.33,0.8200000000000001,No counterfactual,7,66
0.4,0.6,0.06363636363636363,0.8,0.44,1.0,0.33,0.8200000000000001,No counterfactual,7,66
0.44,0.56,0.0593939393939394,0.8,0.44,1.0,0.33,0.8200000000000001,No counterfactual,7,66
0.0,1.0,0.10606060606060606,0.72,0.15,1.0,0.33,0.8200000000000001,No counterfactual,7,66
0.0,1.0,0.10606060606060606,0.76,0.15,1.0,0.33,0.8200000000000001,No counterfactual,7,66
0.04,0.96,0.10181818181818182,0.72,0.15,1.0,0.33,0.8200000000000001,No counterfactual,7,66
0.04,0.96,0.10181818181818182,0.76,0.15,1.0,0.33,0.8200000000000001,No counterfactual,7,66
0.08,0.92,0.09757575757575758,0.76,0.15,1.0,0.33,0.8200000000000001,No counterfactual,7,66
0.12,0.88,0.09333333333333334,0.76,0.15,1.0,0.33,0.8200000000000001,No counterfactual,7,66
0.0,1.0,0.10606060606060606,0.76,0.32,1.0,0.29,0.8300000000000001,No counterfactual,7,66
0.04,0.96,0.10181818181818182,0.76,0.32,1.0,0.29,0.8300000000000001,No counterfactual,7,66
0.08,0.92,0.09757575757575758,0.76,0.32,1.0,0.29,0.8300000000000001,No counterfactual,7,66
0.12,0.88,0.09333333333333334,0.76,0.32,1.0,0.29,0.8300000000000001,No counterfactual,7,66
0.16,0.84,0.0890909090909091,0.76,0.32,1.0,0.29,0.8300000000000001,No counterfactual,7,66
0.2,0.8,0.08484848484848485,0.76,0.32,1.0,0.29,0.8300000000000001,No counterfactual,7,66
0.24,0.76,0.08060606060606061,0.76,0.32,1.0,0.29,0.8300000000000001,No counterfactual,7,66
0.28,0.72,0.07636363636363637,0.76,0.32,1.0,0.29,0.8300000000000001,No counterfactual,7,66
0.28,0.72,0.07636363636363637,0.8,0.32,1.0,0.29,0.8300000000000001,No counterfactual,7,66
0.32,0.68,0.07212121212121213,0.76,0.32,1.0,0.29,0.8300000000000001,No counterfactual,7,66
0.32,0.68,0.07212121212121213,0.8,0.32,1.0,0.29,0.8300000000000001,No counterfactual,7,66
0.0,1.0,0.10606060606060606,0.72,0.5700000000000001,1.0,0.33,0.8200000000000001,No counterfactual,7,66
0.0,1.0,0.10606060606060606,0.76,0.5700000000000001,1.0,0.33,0.8200000000000001,No counterfactual,7,66
0.04,0.96,0.10181818181818182,0.72,0.5700000000000001,1.0,0.33,0.8200000000000001,No counterfactual,7,66
0.04,0.96,0.10181818181818182,0.76,0.5700000000000001,1.0,0.33,0.8200000000000001,No counterfactual,7,66
0.08,0.92,0.09757575757575758,0.76,0.5700000000000001,1.0,0.33,0.8200000000000001,No counterfactual,7,66
0.12,0.88,0.09333333333333334,0.76,0.5700000000000001,1.0,0.33,0.8200000000000001,No counterfactual,7,66
0.16,0.84,0.0890909090909091,0.76,0.5700000000000001,1.0,0.33,0.8200000000000001,No counterfactual,7,66
0.2,0.8,0.08484848484848485,0.76,0.5700000000000001,1.0,0.33,0.8200000000000001,No counterfactual,7,66
0.24,0.76,0.08060606060606061,0.76,0.5700000000000001,1.0,0.33,0.8200000000000001,No counterfactual,7,66
0.28,0.72,0.07636363636363637,0.76,0.5700000000000001,1.0,0.33,0.8200000000000001,No counterfactual,7,66
0.28,0.72,0.07636363636363637,0.8,0.5700000000000001,1.0,0.33,0.8200000000000001,No counterfactual,7,66
0.32,0.68,0.07212121212121213,0.76,0.5700000000000001,1.0,0.33,0.8200000000000001,No counterfactual,7,66
0.32,0.68,0.07212121212121213,0.8,0.5700000000000001,1.0,0.33,0.8200000000000001,No counterfactual,7,66
0.36,0.64,0.06787878787878789,0.76,0.5700000000000001,1.0,0.33,0.8200000000000001,No counterfactual,7,66
0.36,0.64,0.06787878787878789,0.8,0.5700000000000001,1.0,0.33,0.8200000000000001,No counterfactual,7,66
0.4,0.6,0.06363636363636363,0.76,0.5700000000000001,1.0,0.33,0.8200000000000001,No counterfactual,7,66
0.4,0.6,0.06363636363636363,0.8,0.5700000000000001,1.0,0.33,0.8200000000000001,No counterfactual,7,66
0.44,0.56,0.0593939393939394,0.8,0.5700000000000001,1.0,0.33,0.8200000000000001,No counterfactual,7,66
0.48,0.52,0.05515151515151515,0.8,0.5700000000000001,1.0,0.33,0.8200000000000001,No counterfactual,7,66
0.52,0.48,0.05090909090909091,0.8,0.5700000000000001,1.0,0.33,0.8200000000000001,No counterfactual,7,66
0.56,0.44,0.04666666666666667,0.8,0.5700000000000001,1.0,0.33,0.8200000000000001,No counterfactual,7,66
0.0,1.0,0.10606060606060606,0.72,0.54,1.0,0.33,0.8200000000000001,No counterfactual,7,66
0.0,1.0,0.10606060606060606,0.76,0.54,1.0,0.33,0.8200000000000001,No counterfactual,7,66
0.04,0.96,0.10181818181818182,0.72,0.54,1.0,0.33,0.8200000000000001,No counterfactual,7,66
0.04,0.96,0.10181818181818182,0.76,0.54,1.0,0.33,0.8200000000000001,No counterfactual,7,66
0.08,0.92,0.09757575757575758,0.76,0.54,1.0,0.33,0.8200000000000001,No counterfactual,7,66
0.12,0.88,0.09333333333333334,0.76,0.54,1.0,0.33,0.8200000000000001,No counterfactual,7,66
0.16,0.84,0.0890909090909091,0.76,0.54,1.0,0.33,0.8200000000000001,No counterfactual,7,66
0.2,0.8,0.08484848484848485,0.76,0.54,1.0,0.33,0.8200000000000001,No counterfactual,7,66
0.24,0.76,0.08060606060606061,0.76,0.54,1.0,0.33,0.8200000000000001,No counterfactual,7,66
0.28,0.72,0.07636363636363637,0.76,0.54,1.0,0.33,0.8200000000000001,No counterfactual,7,66
0.28,0.72,0.07636363636363637,0.8,0.54,1.0,0.33,0.8200000000000001,No counterfactual,7,66
0.32,0.68,0.07212121212121213,0.76,0.54,1.0,0.33,0.8200000000000001,No counterfactual,7,66
0.32,0.68,0.07212121212121213,0.8,0.54,1.0,0.33,0.8200000000000001,No counterfactual,7,66
0.36,0.64,0.06787878787878789,0.76,0.54,1.0,0.33,0.8200000000000001,No counterfactual,7,66
0.36,0.64,0.06787878787878789,0.8,0.54,1.0,0.33,0.8200000000000001,No counterfactual,7,66
0.4,0.6,0.06363636363636363,0.76,0.54,1.0,0.33,0.8200000000000001,No counterfactual,7,66
0.4,0.6,0.06363636363636363,0.8,0.54,1.0,0.33,0.8200000000000001,No counterfactual,7,66
0.44,0.56,0.0593939393939394,0.8,0.54,1.0,0.33,0.8200000000000001,No counterfactual,7,66
0.48,0.52,0.05515151515151515,0.8,0.54,1.0,0.33,0.8200000000000001,No counterfactual,7,66
0.52,0.48,0.05090909090909091,0.8,0.54,1.0,0.33,0.8200000000000001,No counterfactual,7,66
0.0,1.0,0.10606060606060606,0.72,0.24,1.0,0.33,0.8200000000000001,No counterfactual,7,66
0.0,1.0,0.10606060606060606,0.76,0.24,1.0,0.33,0.8200000000000001,No counterfactual,7,66
0.04,0.96,0.10181818181818182,0.72,0.24,1.0,0.33,0.8200000000000001,No counterfactual,7,66
0.04,0.96,0.10181818181818182,0.76,0.24,1.0,0.33,0.8200000000000001,No counterfactual,7,66
0.08,0.92,0.09757575757575758,0.76,0.24,1.0,0.33,0.8200000000000001,No counterfactual,7,66
0.12,0.88,0.09333333333333334,0.76,0.24,1.0,0.33,0.8200000000000001,No counterfactual,7,66
0.16,0.84,0.0890909090909091,0.76,0.24,1.0,0.33,0.8200000000000001,No counterfactual,7,66
0.2,0.8,0.08484848484848485,0.76,0.24,1.0,0.33,0.8200000000000001,No counterfactual,7,66
0.24,0.76,0.08060606060606061,0.76,0.24,1.0,0.33,0.8200000000000001,No counterfactual,7,66
0.0,1.0,0.10606060606060606,0.76,0.5,1.0,0.14,0.86,No counterfactual,7,66
0.04,0.96,0.10181818181818182,0.76,0.5,1.0,0.14,0.86,No counterfactual,7,66
0.28,0.72,0.07636363636363637,0.8,0.5,1.0,0.14,0.86,No counterfactual,7,66
0.32,0.68,0.07212121212121213,0.8,0.5,1.0,0.14,0.86,No counterfactual,7,66
0.36,0.64,0.06787878787878789,0.8,0.5,1.0,0.14,0.86,No counterfactual,7,66
0.4,0.6,0.06363636363636363,0.8,0.5,1.0,0.14,0.86,No counterfactual,7,66
0.0,1.0,0.10606060606060606,0.76,0.11,1.0,0.14,0.86,No counterfactual,7,66
0.04,0.96,0.10181818181818182,0.76,0.11,1.0,0.14,0.86,No counterfactual,7,66
0.0,1.0,0.10606060606060606,0.76,0.51,1.0,0.29,0.8300000000000001,No counterfactual,7,66
0.04,0.96,0.10181818181818182,0.76,0.51,1.0,0.29,0.8300000000000001,No counterfactual,7,66
0.08,0.92,0.09757575757575758,0.76,0.51,1.0,0.29,0.8300000000000001,No counterfactual,7,66
0.12,0.88,0.09333333333333334,0.76,0.51,1.0,0.29,0.8300000000000001,No counterfactual,7,66
0.16,0.84,0.0890909090909091,0.76,0.51,1.0,0.29,0.8300000000000001,No counterfactual,7,66
0.2,0.8,0.08484848484848485,0.76,0.51,1.0,0.29,0.8300000000000001,No counterfactual,7,66
0.24,0.76,0.08060606060606061,0.76,0.51,1.0,0.29,0.8300000000000001,No counterfactual,7,66
0.28,0.72,0.07636363636363637,0.76,0.51,1.0,0.29,0.8300000000000001,No counterfactual,7,66
0.28,0.72,0.07636363636363637,0.8,0.51,1.0,0.29,0.8300000000000001,No counterfactual,7,66
0.32,0.68,0.07212121212121213,0.76,0.51,1.0,0.29,0.8300000000000001,No counterfactual,7,66
0.32,0.68,0.07212121212121213,0.8,0.51,1.0,0.29,0.8300000000000001,No counterfactual,7,66
0.36,0.64,0.06787878787878789,0.8,0.51,1.0,0.29,0.8300000000000001,No counterfactual,7,66
0.4,0.6,0.06363636363636363,0.8,0.51,1.0,0.29,0.8300000000000001,No counterfactual,7,66
0.44,0.56,0.0593939393939394,0.8,0.51,1.0,0.29,0.8300000000000001,No counterfactual,7,66
0.48,0.52,0.05515151515151515,0.8,0.51,1.0,0.29,0.8300000000000001,No counterfactual,7,66
0.0,1.0,0.10606060606060606,0.76,0.46,1.0,0.14,0.86,No counterfactual,7,66
0.04,0.96,0.10181818181818182,0.76,0.46,1.0,0.14,0.86,No counterfactual,7,66
0.28,0.72,0.07636363636363637,0.8,0.46,1.0,0.14,0.86,No counterfactual,7,66
0.32,0.68,0.07212121212121213,0.8,0.46,1.0,0.14,0.86,No counterfactual,7,66
0.36,0.64,0.06787878787878789,0.8,0.46,1.0,0.14,0.86,No counterfactual,7,66
0.4,0.6,0.06363636363636363,0.8,0.46,1.0,0.14,0.86,No counterfactual,7,66
0.0,1.0,0.10606060606060606,0.72,0.07,1.0,0.33,0.8200000000000001,No counterfactual,7,66
0.0,1.0,0.10606060606060606,0.76,0.07,1.0,0.33,0.8200000000000001,No counterfactual,7,66
0.04,0.96,0.10181818181818182,0.72,0.07,1.0,0.33,0.8200000000000001,No counterfactual,7,66
0.04,0.96,0.10181818181818182,0.76,0.07,1.0,0.33,0.8200000000000001,No counterfactual,7,66
0.0,1.0,0.10606060606060606,0.76,0.51,1.0,0.14,0.86,No counterfactual,7,66
0.04,0.96,0.10181818181818182,0.76,0.51,1.0,0.14,0.86,No counterfactual,7,66
0.28,0.72,0.07636363636363637,0.8,0.51,1.0,0.14,0.86,No counterfactual,7,66
0.32,0.68,0.07212121212121213,0.8,0.51,1.0,0.14,0.86,No counterfactual,7,66
