sBB,sBW,sWB,sWW,pBB,pBW,pWB,pWW,counterfactual,N_B,N_W
0.56,0.28,0.08960000000000001,0.84,0.66,0.75,0.46,0.87,+50%,16,50
0.6,0.28,0.08960000000000001,0.84,0.66,0.75,0.46,0.87,+50%,16,50
0.08,0.64,0.2048,0.76,0.37,0.86,0.74,0.87,+50%,16,50
0.08,0.76,0.2432,0.72,0.37,0.86,0.74,0.87,+50%,16,50
0.12,0.64,0.2048,0.76,0.37,0.86,0.74,0.87,+50%,16,50
0.12,0.76,0.2432,0.72,0.37,0.86,0.74,0.87,+50%,16,50
0.16,0.64,0.2048,0.76,0.37,0.86,0.74,0.87,+50%,16,50
0.2,0.64,0.2048,0.76,0.37,0.86,0.74,0.87,+50%,16,50
0.24,0.64,0.2048,0.76,0.37,0.86,0.74,0.87,+50%,16,50
0.12,0.52,0.16640000000000002,0.76,0.5700000000000001,0.81,0.62,0.81,+50%,16,50
0.12,0.64,0.2048,0.72,0.5700000000000001,0.81,0.62,0.81,+50%,16,50
0.16,0.52,0.16640000000000002,0.76,0.5700000000000001,0.81,0.62,0.81,+50%,16,50
0.16,0.64,0.2048,0.72,0.5700000000000001,0.81,0.62,0.81,+50%,16,50
0.2,0.52,0.16640000000000002,0.76,0.5700000000000001,0.81,0.62,0.81,+50%,16,50
0.2,0.64,0.2048,0.72,0.5700000000000001,0.81,0.62,0.81,+50%,16,50
0.24,0.52,0.16640000000000002,0.76,0.5700000000000001,0.81,0.62,0.81,+50%,16,50
0.24,0.64,0.2048,0.72,0.5700000000000001,0.81,0.62,0.81,+50%,16,50
0.28,0.52,0.16640000000000002,0.76,0.5700000000000001,0.81,0.62,0.81,+50%,16,50
0.32,0.52,0.16640000000000002,0.76,0.5700000000000001,0.81,0.62,0.81,+50%,16,50
0.36,0.52,0.16640000000000002,0.76,0.5700000000000001,0.81,0.62,0.81,+50%,16,50
0.24,0.72,0.2304,0.64,0.87,0.74,0.35,0.86,+50%,16,50
0.28,0.68,0.21760000000000002,0.68,0.87,0.74,0.35,0.86,+50%,16,50
0.32,0.64,0.2048,0.68,0.87,0.74,0.35,0.86,+50%,16,50
0.36,0.6,0.192,0.68,0.87,0.74,0.35,0.86,+50%,16,50
0.4,0.56,0.17920000000000003,0.72,0.87,0.74,0.35,0.86,+50%,16,50
0.44,0.52,0.16640000000000002,0.72,0.87,0.74,0.35,0.86,+50%,16,50
0.48,0.48,0.1536,0.72,0.87,0.74,0.35,0.86,+50%,16,50
0.52,0.44,0.1408,0.72,0.87,0.74,0.35,0.86,+50%,16,50
0.52,0.44,0.1408,0.76,0.87,0.74,0.35,0.86,+50%,16,50
0.56,0.4,0.128,0.76,0.87,0.74,0.35,0.86,+50%,16,50
0.6,0.36,0.1152,0.76,0.87,0.74,0.35,0.86,+50%,16,50
0.64,0.32,0.1024,0.76,0.87,0.74,0.35,0.86,+50%,16,50
0.64,0.32,0.1024,0.8,0.87,0.74,0.35,0.86,+50%,16,50
0.68,0.28,0.08960000000000001,0.8,0.87,0.74,0.35,0.86,+50%,16,50
0.72,0.24,0.0768,0.8,0.87,0.74,0.35,0.86,+50%,16,50
0.76,0.2,0.064,0.8,0.87,0.74,0.35,0.86,+50%,16,50
0.76,0.2,0.064,0.84,0.87,0.74,0.35,0.86,+50%,16,50
0.8,0.16,0.0512,0.84,0.87,0.74,0.35,0.86,+50%,16,50
0.84,0.12,0.0384,0.84,0.87,0.74,0.35,0.86,+50%,16,50
0.2,0.64,0.2048,0.76,0.7000000000000001,0.72,0.68,0.89,+50%,16,50
0.24,0.64,0.2048,0.76,0.7000000000000001,0.72,0.68,0.89,+50%,16,50
0.28,0.56,0.17920000000000003,0.76,0.76,0.65,0.41,0.9,+50%,16,50
0.32,0.44,0.1408,0.8,0.76,0.65,0.41,0.9,+50%,16,50
0.32,0.56,0.17920000000000003,0.76,0.76,0.65,0.41,0.9,+50%,16,50
0.36,0.44,0.1408,0.8,0.76,0.65,0.41,0.9,+50%,16,50
0.4,0.44,0.1408,0.8,0.76,0.65,0.41,0.9,+50%,16,50
0.44,0.44,0.1408,0.8,0.76,0.65,0.41,0.9,+50%,16,50
0.04,0.84,0.2688,0.64,0.6900000000000001,0.95,0.3,0.87,+50%,16,50
0.08,0.84,0.2688,0.64,0.6900000000000001,0.95,0.3,0.87,+50%,16,50
0.12,0.84,0.2688,0.64,0.6900000000000001,0.95,0.3,0.87,+50%,16,50
0.04,0.84,0.2688,0.64,0.45,0.99,0.31,0.87,+50%,16,50
0.08,0.84,0.2688,0.64,0.45,0.99,0.31,0.87,+50%,16,50
0.12,0.84,0.2688,0.64,0.45,0.99,0.31,0.87,+50%,16,50
0.36,0.24,0.0768,0.84,0.6,0.79,0.42,0.86,+50%,16,50
0.4,0.24,0.0768,0.84,0.6,0.79,0.42,0.86,+50%,16,50
0.44,0.24,0.0768,0.84,0.6,0.79,0.42,0.86,+50%,16,50
0.48,0.24,0.0768,0.84,0.6,0.79,0.42,0.86,+50%,16,50
0.52,0.24,0.0768,0.84,0.6,0.79,0.42,0.86,+50%,16,50
0.56,0.24,0.0768,0.84,0.6,0.79,0.42,0.86,+50%,16,50
0.6,0.24,0.0768,0.84,0.6,0.79,0.42,0.86,+50%,16,50
0.04,0.72,0.2304,0.68,0.39,0.95,0.36,0.86,+50%,16,50
0.04,0.84,0.2688,0.64,0.39,0.95,0.36,0.86,+50%,16,50
0.04,0.92,0.2944,0.6,0.39,0.95,0.36,0.86,+50%,16,50
0.08,0.72,0.2304,0.68,0.39,0.95,0.36,0.86,+50%,16,50
0.08,0.84,0.2688,0.64,0.39,0.95,0.36,0.86,+50%,16,50
0.08,0.88,0.2816,0.6,0.39,0.95,0.36,0.86,+50%,16,50
0.12,0.72,0.2304,0.68,0.39,0.95,0.36,0.86,+50%,16,50
0.12,0.84,0.2688,0.6,0.39,0.95,0.36,0.86,+50%,16,50
0.12,0.84,0.2688,0.64,0.39,0.95,0.36,0.86,+50%,16,50
0.16,0.72,0.2304,0.68,0.39,0.95,0.36,0.86,+50%,16,50
0.16,0.8,0.256,0.64,0.39,0.95,0.36,0.86,+50%,16,50
0.2,0.72,0.2304,0.68,0.39,0.95,0.36,0.86,+50%,16,50
0.2,0.76,0.2432,0.64,0.39,0.95,0.36,0.86,+50%,16,50
0.24,0.72,0.2304,0.64,0.39,0.95,0.36,0.86,+50%,16,50
0.24,0.72,0.2304,0.68,0.39,0.95,0.36,0.86,+50%,16,50
0.28,0.68,0.21760000000000002,0.68,0.39,0.95,0.36,0.86,+50%,16,50
0.32,0.64,0.2048,0.68,0.39,0.95,0.36,0.86,+50%,16,50
0.36,0.6,0.192,0.68,0.39,0.95,0.36,0.86,+50%,16,50
0.04,0.84,0.2688,0.64,0.5700000000000001,0.93,0.3,0.87,+50%,16,50
0.08,0.84,0.2688,0.64,0.5700000000000001,0.93,0.3,0.87,+50%,16,50
0.12,0.84,0.2688,0.64,0.5700000000000001,0.93,0.3,0.87,+50%,16,50
0.16,0.8,0.256,0.64,0.5700000000000001,0.93,0.3,0.87,+50%,16,50
0.2,0.76,0.2432,0.64,0.5700000000000001,0.93,0.3,0.87,+50%,16,50
0.24,0.72,0.2304,0.64,0.5700000000000001,0.93,0.3,0.87,+50%,16,50
0.28,0.68,0.21760000000000002,0.68,0.5700000000000001,0.93,0.3,0.87,+50%,16,50
0.32,0.64,0.2048,0.68,0.5700000000000001,0.93,0.3,0.87,+50%,16,50
0.36,0.6,0.192,0.68,0.5700000000000001,0.93,0.3,0.87,+50%,16,50
0.4,0.56,0.17920000000000003,0.72,0.5700000000000001,0.93,0.3,0.87,+50%,16,50
0.44,0.52,0.16640000000000002,0.72,0.5700000000000001,0.93,0.3,0.87,+50%,16,50
0.48,0.48,0.1536,0.72,0.5700000000000001,0.93,0.3,0.87,+50%,16,50
0.52,0.44,0.1408,0.76,0.5700000000000001,0.93,0.3,0.87,+50%,16,50
0.56,0.4,0.128,0.76,0.5700000000000001,0.93,0.3,0.87,+50%,16,50
0.08,0.72,0.2304,0.68,0.5,0.9,0.53,0.81,+50%,16,50
0.08,0.84,0.2688,0.64,0.5,0.9,0.53,0.81,+50%,16,50
0.12,0.72,0.2304,0.68,0.5,0.9,0.53,0.81,+50%,16,50
0.16,0.72,0.2304,0.68,0.5,0.9,0.53,0.81,+50%,16,50
0.2,0.72,0.2304,0.68,0.5,0.9,0.53,0.81,+50%,16,50
0.28,0.52,0.16640000000000002,0.8,0.73,0.67,0.78,0.86,+50%,16,50
0.32,0.52,0.16640000000000002,0.8,0.73,0.67,0.78,0.86,+50%,16,50
0.36,0.4,0.128,0.84,0.73,0.67,0.78,0.86,+50%,16,50
0.36,0.52,0.16640000000000002,0.8,0.73,0.67,0.78,0.86,+50%,16,50
0.4,0.4,0.128,0.84,0.73,0.67,0.78,0.86,+50%,16,50
0.44,0.4,0.128,0.84,0.73,0.67,0.78,0.86,+50%,16,50
0.48,0.4,0.128,0.84,0.73,0.67,0.78,0.86,+50%,16,50
0.08,0.84,0.2688,0.6,0.38,0.88,0.47,0.8300000000000001,+50%,16,50
0.08,0.84,0.2688,0.64,0.38,0.88,0.47,0.8300000000000001,+50%,16,50
0.12,0.8,0.256,0.6,0.38,0.88,0.47,0.8300000000000001,+50%,16,50
0.12,0.8,0.256,0.64,0.38,0.88,0.47,0.8300000000000001,+50%,16,50
0.16,0.76,0.2432,0.6,0.38,0.88,0.47,0.8300000000000001,+50%,16,50
0.16,0.76,0.2432,0.64,0.38,0.88,0.47,0.8300000000000001,+50%,16,50
0.2,0.72,0.2304,0.6,0.38,0.88,0.47,0.8300000000000001,+50%,16,50
0.2,0.72,0.2304,0.64,0.38,0.88,0.47,0.8300000000000001,+50%,16,50
0.24,0.68,0.21760000000000002,0.64,0.38,0.88,0.47,0.8300000000000001,+50%,16,50
0.24,0.68,0.21760000000000002,0.68,0.38,0.88,0.47,0.8300000000000001,+50%,16,50
0.28,0.64,0.2048,0.64,0.38,0.88,0.47,0.8300000000000001,+50%,16,50
0.28,0.64,0.2048,0.68,0.38,0.88,0.47,0.8300000000000001,+50%,16,50
0.32,0.6,0.192,0.64,0.38,0.88,0.47,0.8300000000000001,+50%,16,50
0.32,0.6,0.192,0.68,0.38,0.88,0.47,0.8300000000000001,+50%,16,50
0.36,0.56,0.17920000000000003,0.68,0.38,0.88,0.47,0.8300000000000001,+50%,16,50
0.36,0.56,0.17920000000000003,0.72,0.38,0.88,0.47,0.8300000000000001,+50%,16,50
0.36,0.36,0.1152,0.88,0.72,0.71,0.97,0.9,+50%,16,50
0.4,0.36,0.1152,0.88,0.72,0.71,0.97,0.9,+50%,16,50
0.44,0.36,0.1152,0.88,0.72,0.71,0.97,0.9,+50%,16,50
0.48,0.36,0.1152,0.88,0.72,0.71,0.97,0.9,+50%,16,50
0.52,0.36,0.1152,0.88,0.72,0.71,0.97,0.9,+50%,16,50
0.12,0.6,0.192,0.72,0.5,0.8300000000000001,0.42,0.85,+50%,16,50
0.12,0.72,0.2304,0.68,0.5,0.8300000000000001,0.42,0.85,+50%,16,50
0.16,0.6,0.192,0.72,0.5,0.8300000000000001,0.42,0.85,+50%,16,50
0.16,0.72,0.2304,0.68,0.5,0.8300000000000001,0.42,0.85,+50%,16,50
0.2,0.6,0.192,0.72,0.5,0.8300000000000001,0.42,0.85,+50%,16,50
0.24,0.6,0.192,0.72,0.5,0.8300000000000001,0.42,0.85,+50%,16,50
0.28,0.6,0.192,0.72,0.5,0.8300000000000001,0.42,0.85,+50%,16,50
0.24,0.6,0.192,0.72,0.73,0.7000000000000001,0.47,0.84,+50%,16,50
0.28,0.48,0.1536,0.76,0.73,0.7000000000000001,0.47,0.84,+50%,16,50
0.28,0.6,0.192,0.72,0.73,0.7000000000000001,0.47,0.84,+50%,16,50
0.32,0.48,0.1536,0.76,0.73,0.7000000000000001,0.47,0.84,+50%,16,50
0.36,0.48,0.1536,0.76,0.73,0.7000000000000001,0.47,0.84,+50%,16,50
0.4,0.36,0.1152,0.8,0.73,0.7000000000000001,0.47,0.84,+50%,16,50
0.4,0.48,0.1536,0.76,0.73,0.7000000000000001,0.47,0.84,+50%,16,50
0.44,0.36,0.1152,0.8,0.73,0.7000000000000001,0.47,0.84,+50%,16,50
0.48,0.36,0.1152,0.8,0.73,0.7000000000000001,0.47,0.84,+50%,16,50
0.52,0.36,0.1152,0.8,0.73,0.7000000000000001,0.47,0.84,+50%,16,50
0.12,0.68,0.21760000000000002,0.76,0.54,0.8200000000000001,0.78,0.9,+50%,16,50
0.16,0.68,0.21760000000000002,0.76,0.54,0.8200000000000001,0.78,0.9,+50%,16,50
0.2,0.68,0.21760000000000002,0.76,0.54,0.8200000000000001,0.78,0.9,+50%,16,50
0.2,0.2,0.064,0.88,0.38,0.86,0.55,0.88,+50%,16,50
0.24,0.2,0.064,0.88,0.38,0.86,0.55,0.88,+50%,16,50
0.28,0.2,0.064,0.88,0.38,0.86,0.55,0.88,+50%,16,50
0.32,0.2,0.064,0.88,0.38,0.86,0.55,0.88,+50%,16,50
0.36,0.2,0.064,0.88,0.38,0.86,0.55,0.88,+50%,16,50
0.48,0.28,0.08960000000000001,0.84,0.73,0.6900000000000001,0.58,0.84,+50%,16,50
0.52,0.28,0.08960000000000001,0.84,0.73,0.6900000000000001,0.58,0.84,+50%,16,50
0.56,0.28,0.08960000000000001,0.84,0.73,0.6900000000000001,0.58,0.84,+50%,16,50
0.6,0.28,0.08960000000000001,0.84,0.73,0.6900000000000001,0.58,0.84,+50%,16,50
0.56,0.44,0.1408,0.76,0.66,1.0,0.19,0.89,+50%,16,50
0.24,0.64,0.2048,0.72,0.7000000000000001,0.71,0.61,0.81,+50%,16,50
0.32,0.44,0.1408,0.84,0.76,0.65,0.88,0.86,+50%,16,50
0.36,0.44,0.1408,0.84,0.76,0.65,0.88,0.86,+50%,16,50
0.4,0.44,0.1408,0.84,0.76,0.65,0.88,0.86,+50%,16,50
0.44,0.44,0.1408,0.84,0.76,0.65,0.88,0.86,+50%,16,50
0.48,0.36,0.1152,0.8,0.81,0.5700000000000001,0.52,0.8300000000000001,+50%,16,50
0.52,0.36,0.1152,0.8,0.81,0.5700000000000001,0.52,0.8300000000000001,+50%,16,50
0.16,0.56,0.17920000000000003,0.8,0.61,0.77,0.85,0.88,+50%,16,50
0.2,0.44,0.1408,0.84,0.61,0.77,0.85,0.88,+50%,16,50
0.2,0.56,0.17920000000000003,0.8,0.61,0.77,0.85,0.88,+50%,16,50
0.24,0.44,0.1408,0.84,0.61,0.77,0.85,0.88,+50%,16,50
0.24,0.56,0.17920000000000003,0.8,0.61,0.77,0.85,0.88,+50%,16,50
0.28,0.44,0.1408,0.84,0.61,0.77,0.85,0.88,+50%,16,50
0.28,0.56,0.17920000000000003,0.8,0.61,0.77,0.85,0.88,+50%,16,50
0.32,0.44,0.1408,0.84,0.61,0.77,0.85,0.88,+50%,16,50
0.32,0.56,0.17920000000000003,0.8,0.61,0.77,0.85,0.88,+50%,16,50
0.36,0.44,0.1408,0.84,0.61,0.77,0.85,0.88,+50%,16,50
0.4,0.44,0.1408,0.84,0.61,0.77,0.85,0.88,+50%,16,50
0.44,0.44,0.1408,0.84,0.61,0.77,0.85,0.88,+50%,16,50
0.12,0.6,0.192,0.76,0.55,0.81,0.66,0.86,+50%,16,50
0.12,0.72,0.2304,0.72,0.55,0.81,0.66,0.86,+50%,16,50
0.16,0.6,0.192,0.76,0.55,0.81,0.66,0.86,+50%,16,50
0.16,0.72,0.2304,0.72,0.55,0.81,0.66,0.86,+50%,16,50
0.2,0.6,0.192,0.76,0.55,0.81,0.66,0.86,+50%,16,50
0.24,0.6,0.192,0.76,0.55,0.81,0.66,0.86,+50%,16,50
0.28,0.6,0.192,0.76,0.55,0.81,0.66,0.86,+50%,16,50
0.08,0.6,0.192,0.76,0.43,0.85,0.61,0.88,+50%,16,50
0.08,0.72,0.2304,0.72,0.43,0.85,0.61,0.88,+50%,16,50
0.12,0.6,0.192,0.76,0.43,0.85,0.61,0.88,+50%,16,50
0.12,0.72,0.2304,0.72,0.43,0.85,0.61,0.88,+50%,16,50
0.16,0.6,0.192,0.76,0.43,0.85,0.61,0.88,+50%,16,50
0.16,0.72,0.2304,0.72,0.43,0.85,0.61,0.88,+50%,16,50
0.2,0.6,0.192,0.76,0.43,0.85,0.61,0.88,+50%,16,50
0.24,0.6,0.192,0.76,0.43,0.85,0.61,0.88,+50%,16,50
0.28,0.6,0.192,0.76,0.43,0.85,0.61,0.88,+50%,16,50
0.04,0.72,0.2304,0.68,0.53,0.96,0.36,0.86,+50%,16,50
0.04,0.84,0.2688,0.64,0.53,0.96,0.36,0.86,+50%,16,50
0.08,0.72,0.2304,0.68,0.53,0.96,0.36,0.86,+50%,16,50
0.08,0.84,0.2688,0.64,0.53,0.96,0.36,0.86,+50%,16,50
0.12,0.72,0.2304,0.68,0.53,0.96,0.36,0.86,+50%,16,50
0.12,0.84,0.2688,0.64,0.53,0.96,0.36,0.86,+50%,16,50
0.16,0.72,0.2304,0.68,0.53,0.96,0.36,0.86,+50%,16,50
0.2,0.72,0.2304,0.68,0.53,0.96,0.36,0.86,+50%,16,50
0.24,0.72,0.2304,0.68,0.53,0.96,0.36,0.86,+50%,16,50
0.12,0.6,0.192,0.8,0.5700000000000001,0.81,0.92,0.9,+50%,16,50
0.12,0.72,0.2304,0.76,0.5700000000000001,0.81,0.92,0.9,+50%,16,50
0.16,0.6,0.192,0.8,0.5700000000000001,0.81,0.92,0.9,+50%,16,50
0.16,0.72,0.2304,0.76,0.5700000000000001,0.81,0.92,0.9,+50%,16,50
0.2,0.6,0.192,0.8,0.5700000000000001,0.81,0.92,0.9,+50%,16,50
0.24,0.6,0.192,0.8,0.5700000000000001,0.81,0.92,0.9,+50%,16,50
0.28,0.6,0.192,0.8,0.5700000000000001,0.81,0.92,0.9,+50%,16,50
0.12,0.32,0.1024,0.84,0.41,0.86,0.45,0.9,+50%,16,50
0.16,0.32,0.1024,0.84,0.41,0.86,0.45,0.9,+50%,16,50
0.2,0.32,0.1024,0.84,0.41,0.86,0.45,0.9,+50%,16,50
0.24,0.2,0.064,0.88,0.41,0.86,0.45,0.9,+50%,16,50
0.24,0.32,0.1024,0.84,0.41,0.86,0.45,0.9,+50%,16,50
0.28,0.2,0.064,0.88,0.41,0.86,0.45,0.9,+50%,16,50
0.28,0.32,0.1024,0.84,0.41,0.86,0.45,0.9,+50%,16,50
0.32,0.2,0.064,0.88,0.41,0.86,0.45,0.9,+50%,16,50
0.32,0.32,0.1024,0.84,0.41,0.86,0.45,0.9,+50%,16,50
0.36,0.2,0.064,0.88,0.41,0.86,0.45,0.9,+50%,16,50
0.36,0.32,0.1024,0.84,0.41,0.86,0.45,0.9,+50%,16,50
0.4,0.2,0.064,0.88,0.41,0.86,0.45,0.9,+50%,16,50
0.4,0.32,0.1024,0.84,0.41,0.86,0.45,0.9,+50%,16,50
0.24,0.48,0.1536,0.8,0.7000000000000001,0.71,0.59,0.89,+50%,16,50
0.24,0.6,0.192,0.76,0.7000000000000001,0.71,0.59,0.89,+50%,16,50
0.28,0.48,0.1536,0.8,0.7000000000000001,0.71,0.59,0.89,+50%,16,50
0.28,0.6,0.192,0.76,0.7000000000000001,0.71,0.59,0.89,+50%,16,50
0.32,0.48,0.1536,0.8,0.7000000000000001,0.71,0.59,0.89,+50%,16,50
0.36,0.48,0.1536,0.8,0.7000000000000001,0.71,0.59,0.89,+50%,16,50
0.4,0.48,0.1536,0.8,0.7000000000000001,0.71,0.59,0.89,+50%,16,50
0.04,0.84,0.2688,0.64,0.6,0.95,0.47,0.8300000000000001,+50%,16,50
0.08,0.84,0.2688,0.64,0.6,0.95,0.47,0.8300000000000001,+50%,16,50
0.12,0.84,0.2688,0.64,0.6,0.95,0.47,0.8300000000000001,+50%,16,50
0.24,0.6,0.192,0.76,0.73,0.68,0.68,0.85,+50%,16,50
0.28,0.6,0.192,0.76,0.73,0.68,0.68,0.85,+50%,16,50
0.2,0.48,0.1536,0.84,0.68,0.74,0.97,0.86,+50%,16,50
0.24,0.48,0.1536,0.84,0.68,0.74,0.97,0.86,+50%,16,50
0.28,0.48,0.1536,0.84,0.68,0.74,0.97,0.86,+50%,16,50
0.32,0.48,0.1536,0.84,0.68,0.74,0.97,0.86,+50%,16,50
0.36,0.48,0.1536,0.84,0.68,0.74,0.97,0.86,+50%,16,50
0.4,0.48,0.1536,0.84,0.68,0.74,0.97,0.86,+50%,16,50
0.08,0.56,0.17920000000000003,0.76,0.43,0.85,0.5,0.88,+50%,16,50
0.08,0.68,0.21760000000000002,0.72,0.43,0.85,0.5,0.88,+50%,16,50
0.12,0.56,0.17920000000000003,0.76,0.43,0.85,0.5,0.88,+50%,16,50
0.12,0.68,0.21760000000000002,0.72,0.43,0.85,0.5,0.88,+50%,16,50
0.16,0.56,0.17920000000000003,0.76,0.43,0.85,0.5,0.88,+50%,16,50
0.16,0.68,0.21760000000000002,0.72,0.43,0.85,0.5,0.88,+50%,16,50
0.2,0.56,0.17920000000000003,0.76,0.43,0.85,0.5,0.88,+50%,16,50
0.2,0.68,0.21760000000000002,0.72,0.43,0.85,0.5,0.88,+50%,16,50
0.24,0.56,0.17920000000000003,0.76,0.43,0.85,0.5,0.88,+50%,16,50
0.28,0.56,0.17920000000000003,0.76,0.43,0.85,0.5,0.88,+50%,16,50
0.32,0.56,0.17920000000000003,0.76,0.43,0.85,0.5,0.88,+50%,16,50
0.04,0.84,0.2688,0.64,0.4,0.94,0.47,0.8300000000000001,+50%,16,50
0.04,0.92,0.2944,0.56,0.4,0.94,0.47,0.8300000000000001,+50%,16,50
0.04,0.92,0.2944,0.6,0.4,0.94,0.47,0.8300000000000001,+50%,16,50
0.08,0.84,0.2688,0.64,0.4,0.94,0.47,0.8300000000000001,+50%,16,50
0.08,0.88,0.2816,0.56,0.4,0.94,0.47,0.8300000000000001,+50%,16,50
0.08,0.88,0.2816,0.6,0.4,0.94,0.47,0.8300000000000001,+50%,16,50
0.12,0.84,0.2688,0.6,0.4,0.94,0.47,0.8300000000000001,+50%,16,50
0.12,0.84,0.2688,0.64,0.4,0.94,0.47,0.8300000000000001,+50%,16,50
0.16,0.8,0.256,0.6,0.4,0.94,0.47,0.8300000000000001,+50%,16,50
0.16,0.8,0.256,0.64,0.4,0.94,0.47,0.8300000000000001,+50%,16,50
0.2,0.76,0.2432,0.6,0.4,0.94,0.47,0.8300000000000001,+50%,16,50
0.2,0.76,0.2432,0.64,0.4,0.94,0.47,0.8300000000000001,+50%,16,50
0.24,0.72,0.2304,0.6,0.4,0.94,0.47,0.8300000000000001,+50%,16,50
0.24,0.72,0.2304,0.64,0.4,0.94,0.47,0.8300000000000001,+50%,16,50
0.28,0.68,0.21760000000000002,0.64,0.4,0.94,0.47,0.8300000000000001,+50%,16,50
0.28,0.68,0.21760000000000002,0.68,0.4,0.94,0.47,0.8300000000000001,+50%,16,50
0.32,0.64,0.2048,0.64,0.4,0.94,0.47,0.8300000000000001,+50%,16,50
0.32,0.64,0.2048,0.68,0.4,0.94,0.47,0.8300000000000001,+50%,16,50
0.36,0.6,0.192,0.64,0.4,0.94,0.47,0.8300000000000001,+50%,16,50
0.36,0.6,0.192,0.68,0.4,0.94,0.47,0.8300000000000001,+50%,16,50
0.4,0.56,0.17920000000000003,0.68,0.4,0.94,0.47,0.8300000000000001,+50%,16,50
0.4,0.56,0.17920000000000003,0.72,0.4,0.94,0.47,0.8300000000000001,+50%,16,50
0.28,0.32,0.1024,0.88,0.58,0.79,0.88,0.88,+50%,16,50
0.32,0.32,0.1024,0.88,0.58,0.79,0.88,0.88,+50%,16,50
0.36,0.32,0.1024,0.88,0.58,0.79,0.88,0.88,+50%,16,50
0.4,0.32,0.1024,0.88,0.58,0.79,0.88,0.88,+50%,16,50
0.44,0.32,0.1024,0.88,0.58,0.79,0.88,0.88,+50%,16,50
0.48,0.32,0.1024,0.88,0.58,0.79,0.88,0.88,+50%,16,50
0.52,0.32,0.1024,0.88,0.58,0.79,0.88,0.88,+50%,16,50
0.56,0.32,0.1024,0.88,0.58,0.79,0.88,0.88,+50%,16,50
0.32,0.4,0.128,0.84,0.6900000000000001,0.71,0.76,0.88,+50%,16,50
0.36,0.4,0.128,0.84,0.6900000000000001,0.71,0.76,0.88,+50%,16,50
0.4,0.4,0.128,0.84,0.6900000000000001,0.71,0.76,0.88,+50%,16,50
0.44,0.28,0.08960000000000001,0.88,0.6900000000000001,0.71,0.76,0.88,+50%,16,50
0.44,0.4,0.128,0.84,0.6900000000000001,0.71,0.76,0.88,+50%,16,50
0.48,0.28,0.08960000000000001,0.88,0.6900000000000001,0.71,0.76,0.88,+50%,16,50
0.48,0.4,0.128,0.84,0.6900000000000001,0.71,0.76,0.88,+50%,16,50
0.52,0.28,0.08960000000000001,0.88,0.6900000000000001,0.71,0.76,0.88,+50%,16,50
0.56,0.28,0.08960000000000001,0.88,0.6900000000000001,0.71,0.76,0.88,+50%,16,50
0.6,0.28,0.08960000000000001,0.88,0.6900000000000001,0.71,0.76,0.88,+50%,16,50
0.28,0.68,0.21760000000000002,0.64,0.89,0.71,0.47,0.8300000000000001,+50%,16,50
0.28,0.68,0.21760000000000002,0.68,0.89,0.71,0.47,0.8300000000000001,+50%,16,50
0.32,0.64,0.2048,0.64,0.89,0.71,0.47,0.8300000000000001,+50%,16,50
0.32,0.64,0.2048,0.68,0.89,0.71,0.47,0.8300000000000001,+50%,16,50
0.36,0.6,0.192,0.64,0.89,0.71,0.47,0.8300000000000001,+50%,16,50
0.36,0.6,0.192,0.68,0.89,0.71,0.47,0.8300000000000001,+50%,16,50
0.4,0.56,0.17920000000000003,0.68,0.89,0.71,0.47,0.8300000000000001,+50%,16,50
0.4,0.56,0.17920000000000003,0.72,0.89,0.71,0.47,0.8300000000000001,+50%,16,50
0.44,0.52,0.16640000000000002,0.68,0.89,0.71,0.47,0.8300000000000001,+50%,16,50
0.44,0.52,0.16640000000000002,0.72,0.89,0.71,0.47,0.8300000000000001,+50%,16,50
0.48,0.48,0.1536,0.68,0.89,0.71,0.47,0.8300000000000001,+50%,16,50
0.48,0.48,0.1536,0.72,0.89,0.71,0.47,0.8300000000000001,+50%,16,50
0.52,0.44,0.1408,0.72,0.89,0.71,0.47,0.8300000000000001,+50%,16,50
0.52,0.44,0.1408,0.76,0.89,0.71,0.47,0.8300000000000001,+50%,16,50
0.56,0.4,0.128,0.72,0.89,0.71,0.47,0.8300000000000001,+50%,16,50
0.56,0.4,0.128,0.76,0.89,0.71,0.47,0.8300000000000001,+50%,16,50
0.6,0.36,0.1152,0.72,0.89,0.71,0.47,0.8300000000000001,+50%,16,50
0.6,0.36,0.1152,0.76,0.89,0.71,0.47,0.8300000000000001,+50%,16,50
0.64,0.32,0.1024,0.76,0.89,0.71,0.47,0.8300000000000001,+50%,16,50
0.64,0.32,0.1024,0.8,0.89,0.71,0.47,0.8300000000000001,+50%,16,50
0.68,0.28,0.08960000000000001,0.76,0.89,0.71,0.47,0.8300000000000001,+50%,16,50
0.68,0.28,0.08960000000000001,0.8,0.89,0.71,0.47,0.8300000000000001,+50%,16,50
0.72,0.24,0.0768,0.76,0.89,0.71,0.47,0.8300000000000001,+50%,16,50
0.72,0.24,0.0768,0.8,0.89,0.71,0.47,0.8300000000000001,+50%,16,50
0.76,0.2,0.064,0.8,0.89,0.71,0.47,0.8300000000000001,+50%,16,50
0.8,0.16,0.0512,0.8,0.89,0.71,0.47,0.8300000000000001,+50%,16,50
0.84,0.12,0.0384,0.8,0.89,0.71,0.47,0.8300000000000001,+50%,16,50
0.24,0.48,0.1536,0.8,0.7000000000000001,0.7000000000000001,0.73,0.8300000000000001,+50%,16,50
